Цветохвостник яванский
Крепидот уплощенный
Энтолома яркоокрашенная
Ганодерма смолистая
Мухомор шероховатый
Траметес жёстковолосистый
Маслёнок Клинтона
Плютей львино-жёлтый
Булгария инквинанс
Панеллюс мягкий
Панеллюс вяжущий
Лиофиллум панцирный
Гиднеллум голубой
Гигрофор Персона
Лопастник курчавый
Маслёнок рыжий
Сыроежка чешуйчатая
Белошампиньон краснопластинчатый
Паутинник светло-охристый
Ксилярия многообразная
Обабок чернеющий
Коллибия лесолюбивая
Паутинник пачкающий
Скутеллиния
Стереум жёстковолосистый
Гигрофор дубравный
Пецица подвальная
Эксидия сжатая
Лопастник чёрный
Цистолепиота семинуда
Экзобазидиум брусничный
Биссонектрия наземная
Гиднеллум оранжевый
Трюфель гималайский
Деконика Филлипса
Флебия радиальная
Негниючник нежнейший
Энтолома шершавоножковая
Лопастник длинноножковый
Кудония сомнительная
Феллинус бугорчатый
Ложный трутовик Лунделла
Наукория обсыпанная
Волоконница разорванная
Масленок рыже-красный
Гигрофор ранний
Говорушка благоухающая
Паутинник чешуйчатый
Гепиния гельвеллоидная
Сморчок съедобный
Говорушка желобчатая
Абортипорус
Шампиньон изящный
Млечник дубовый
Паутинник съедобный (Толстушка)
Сыроежка Мэйра
Рядовка голубиная
Опёнок кирпично-красный
Грабовик
Весёлка обыкновенная
Мухомор пантерный
Рядовка пятнистая
Груздь перечный
Аррения лопатчатая
Хеймонофиллум чистейший
Меланолеука мелкоопыленная
Флебия красная
Лимацелла капельная
Плютей шероховатенький
Гименохете пурпурная
Плютей бархатистоножковый
Феомаразмиус ежовиковый
Гипомицес золотистоспоровый
Сыроежка Морзе
Рядовка частопластинковая
Лимацелла липкая
Пецица изменчивая
Моховик моравский
Шампиньон двукольцевой
Паутинник ленивый
Миценаструм кожистый
Гебелома недоступная
Вёшенка лимонная
Гипомицес кирпично-красный
Навозник лучистый
Звездчатка гигрометрическая
Вольвариелла хвойная
Белосвинуха белоснежная
Весёлка опоясанная
Лимацелла клейкая
Гипомицес гиалиновый
Гипомицес охряный
Гипомицес оливково-зелёный
Гигрофор благоуханный
Ослиное ухо (Отидея ослиная)
Гимнопил проникающий
Порховка чернеющая
Подгруздок бело-черный
Меланолеука коротконожковая
Гигрофор чёрный
Порфировик порфироспоровый
Сыроежка выцветающая
Полевик жёсткий
Серушка
Боровик коренящийся
Рядовка жёлто-бурая
Саркосцифа алая
Зонтик краснеющий
Моховик пёстрый
Лисичка черная
Говорушка ворончатая
Трутовик окаймлённый
Лисичка трубковидная
Кордицепс военный
Дождевик ежевидно-колючий
Гигрофор краснеющий
Тапинелла панусовидная
Чешуйчатка клейкая
Гигрофор желтовато-белый
Энтолома продавленная
Груздь сосочковый
Паутинник бело-фиолетовый
Сыроежка берёзовая
Мицена желтоокаймленная
Омфалина зонтичная
Чешуйчатка бугорчатая
Ксерула скромная
Плютей жилковатый
Плютей Хонго
Цибория аментацея
Бруннипила скрытая
Катинелла оливковая
Леокарпус ломкий
Меланогастер сомнительный
Дрожалка лиственная
Климакоцистис северный
Пикнопореллус блестящий
Мицена зефировая
Чешуйчатка многоцветная
Ксеромфалина кауфмана
Паутинник щёлочелюбивый
Илеодиктион съедобный
Хлороцибория сине-зеленая
Сморчок конический
Альбатреллус сливающийся (Альбатреллус сросшийся)
Груздь сизоватый
Вёшенка оранжевая
Говорушка зимняя
Псилоцибе чешская
Дубовик Келе
Боровик розово-пурпурный
Трутовик каштановый
Подберезовик жестковатый
Млечник водянисто-млечный
Гигрофор поэтичный
Стробилюрус черенковый
Трюфель белый мартовский
Энтолома щитоносная
Гигрофор попугай (Гигрофор пёстрый)
Ложноопёнок моховой
Ежовик белоножковый
Звездовик тройной
Рядовка сухая
Свинушка тонкая
Жёлчный гриб
Рамария жёлтая
Рядовка тополёвая
Рядовка лиловоногая
Колпак кольчатый
Опёнок осенний
Рядовка серая
Подберёзовик
Шампиньон обыкновенный
Галерина лентовидная
Паутинник аномальный
Флоккулярия Рикена
Крепидот мягкий
Полипорус черноногий
Трюфель зимний чёрный
Мицена слизистая
Ледяные волосы
Дождевик клочковатый
Паутинник павлиний
Звездовик маленький
Феллодон войлочный
Сыроежка золотисто-желтая
Негниючник веточковый
Крепидот изменчивый
Гигроцибе остроконическая
Постия голубовато-серая
Паутинник плёнчатый
Красноустка киноварно-красная
Миксомфалия гаревая
Строфария полушаровидная
Климакодон северный
Сыроежка болотная
Боровик Берроуза
Гимнопил сосновый
Энтолома сепиум
Маслёнок Беллини
Поплавок чёрный
Сыроежка зелёная
Опёнок ссыхающийся
Рыжик японский
Чешуйчатка слизистая
Хлорофиллум Оливье
Навозник складчатый
Галерина моховая
Меланолеука полосатоножковая
Сыроежка цельная
Ежовик черный
Белосвинуха трёхцветная
Мерипилус гигантский
Мухомор поганковидный
Моховик красный
Навозная лысина
Леписта одноглазая
Болет пурпурный (Боровик пурпурный)
Омфалотус масличный
Боровик ле Галь
Шампиньон перелесковый
Опёнок тёмный
Моховик бархатный
Гигроцибе киноварно-красная
Трюфель китайский
Говорушка снежная
Альбатреллус синепоровый
Муцилаго корковый
Негниючник шаровидный
Флебия дрожащая
Млечник смолисто-чёрный
Гимнопил исчезающий
Белонавозник Пилата
Паутинник дубравный
Нектрия киноварно-красная
Мицена шишколюбивая
Пилолистничек волчий
Мокруха швейцарская
Гигрофор золотистый
Телефора гвоздичная
Гигрофор снежно-белый
Ежовик финский
Коноцибе крупноголовая
Гиропорус синеющий
Говорушка перевёрнутая
Зонтик чешуйчатый
Груздь настоящий
Мухомор серо-розовый
Груздь дубовый
Трутовик скошенный
Свинуха гигантская
Бледная поганка
Чешуйчатка обыкновенная
Пилолистник чешуйчатый (Шпальный гриб)
Вольвариелла шелковистая
Подгруздок черный
Груздь пергаментный
Сыроежка зелёно-красная
Звездовик сводчатый
Говорушка анисовая
Паутинник большой
Подосиновик дубовый
Обабок дальневосточный
Псевдоежовик студенистый (Ложноежовик)
Млечник оранжевый
Лисичка булавовидная
Рогатик язычковый
Моховик паразитирующий
Моховик лиственничный
Коллибия Азема
Лиофиллум дымчато-серый
Маслёнок полоножковый
Сыроежка сине-желтая
Вольвариелла маленькая
Удемансиелла бурокрайная
Гипомицес волнушковый
Энтолома недоразвитая
Дождевик мягкий
Дождевик умбровый
Пизолитус аренариус
Флеогена буковая
Гимнопил Юноны
Рядовка тигровая
Рядовка бело-коричневая
Маслёнок зернистый
Строчок обыкновенный
Говорушка налиственная
Плютей олений
Трутовик чешуйчатый
Печёночница обыкновенная
Свинушка толстая
Гигроцибе коническая
Маслёнок сибирский
Сыроежка золотистая
Сморчок полусвободный
Лисичка горбатая
Млечник беззоновый
Сыроежка синяя
Паутинник болотный
Сыроежка турецкая
Млечник липкий
Панеолус синеющий
Дисцина щитовидная
Гипсизигус ильмовый
Рядовка обутая
Говорушка бледноокрашенная
Панус уховидный
Полевик ранний
Ежовик белый
Опёнок тополиный
Чешуйчатка чешуйчатовидная
Кудония закрученная
Паутинник тусклый
Телефора пальчатая
Омфалина увечная
Боровик неопушённый
Аурикулариопсис уховидный
Навозник ивовый
Вольвариелла паразитическая
Паутинник городской
Стробилюрус шпагатоногий
Паутинник весенний
Плютей чешуйчатый
Паутинник лепистовидный
Гифолома окаймленная
Гигроцибе Красивая
Мицена
Звездовик полосатый
Глеофиллум пахучий
Глеофиллум заборный
Дакримицес исчезающий
Тубифера ржавая
Трюфель африканский
Цистодерма шелушистая
Губка дубовая
Белосвинуха горечавковая
Лопастник белоножковый
Бокальчик навозный
Гигрофор розоватый
Бокальчик полосатый
Галерина сфагновая
Чешуйчатка светящаяся
Копробия зернистая
Трихаптум буро-фиолетовый
Моховик золотистый
Паутинник полуволосистый
Трихаптум еловый
Аурантипорус расщепляющийся
Калосцифа блестящая
Млечник белый
Климакодон красивейший
Рядовка опоясанная
Стемонитис осевой
Альбатреллус тянь-шаньский
Паутинник камфорный
Пецица пузырчатая
Рогатик дудчатый
Навозник волосистоногий
Филлопорус розово-золотистый
Ганодерма южная
Мицена обыкновенная
Плютей тёмнокрайний
Дакримицес золотистоспоровый
Подберезовик тундровый
Стекхеринум Мурашкинского
Ксилярия Гипоксилон
Коллибия клубневая
Деликатула маленькая
Псевдоплектания черноватая
Энтолома синеватая
Плютей грязноножковый
Псатирелла серо-бурая
Мухомор порфировый
Трюфель олений
Лейкофолиота древесинная
Эксидия железистая
Головач продолговатый
Груздь синеющий
Рогатик гроздевой
Строфария морщинисто-кольцевая (Кольцевик)
Порховка свинцово-серая
Стробилюрус съедобный
Лентинеллус уховидный
Порфировик порфировоспоровый
Млечник шиповатый
Лепиота Бребиссона
Паутинник изменчивый
Ежовик альпийский
Мицена колпаковидная
Агроцибе эребия
Трюфель итальянский
Боровик золотистый
Млечник камфорный
Опенок толстоногий
Подгруздок чернеющий
Коллибия широкопластинчатая
Серная голова
Млечник обыкновенный
Вёшенка степная
Рядовка заостренная
Груздь желтый
Краснушка
Рядовка опаленная
Поплавок желто-коричневый
Строфария небесно-синяя
Энтолома седая
Лопастник бокальчатый
Галерина Болотная
Гигрофор сыроежковый
Гипомицес млечниковый
Поплавок белый
Рядовка серебристая
Ликогала древесинная (Волчье молоко)
Сыроежка сереющая
Мухомор щетинистый
Болетин азиатский
Рыжик красный
Млечник неедкий
Ризопогон желтоватый
Трутовик ямчатый
Лепиота каштановая
Чесночник дубовый
Гигроцибе пунцовая
Коноцибе молочно-белая
Баттаррея веселковая
Дождевик желтоокрашенный
Навозник белоснежный
Энтолома шелковистая
Энтолома собираемая
Белый домовой гриб
Дождевик вонючий
Лисичка ложная
Навозник белый
Белый гриб
Паутинник жёлтый
Ежовик пёстрый
Дубовик обыкновенный
Мокруха пурпуровая
Вёшенка устричная
Маслёнок желто-бурый
Дубовик крапчатый
Гипокрея серно-желтая
Панус грубый
Клавулина морщинистая
Чешуйчатка жёлто-зеленоватая
Трихаптум двоякий
Звездовик четырёхлопастный
Бокальчик Олла
Щелелистник обыкновенный
Трутовик щетинистоволосый
Пиптопорус дубовый (Трутовик дубовый)
Рамария красивая
Подосиновик белый
Феолепиота золотистая
Чайный гриб
Поплавок серый
Млечник Мэра
Саркосома шаровидная
Трутовик овечий
Мухомор яйцевидный
Клатрус Арчера
Лепиота щитковая
Катателазма императорская
Маслёнок примечательный
Млечник бурый
Ложная лисичка рыжая
Маслёнок раскрашенный
Сухлянка двухлетняя
Волоконница земляная
Рядовка Гульден
Навозник обыкновенный
Шампиньон крупноспоровый
Навозник рассеянный
Шампиньон таблитчатый
Лимацелла обмазанная
Сморчок степной
Псатирелла водолюбивая (Псатирелла шаровидная)
Сыроежка ломкая
Мицена синеногая
Опёнок чеканный
Сетконоска сдвоенная
Эксидия хрящеватая
Стереум морщинистый
Феллинус виноградный
Пилолистник бороздчатый
Пукциниаструм пятнистый
Рыжик винный
Чешуйчатка сальная
Скелетокутис розово-серый
Плютей умбровоподобный
Антракобия маурилабра
Вёшенка лёгочная
Рядовка фиалковая
Ложнодождевик обыкновенный
Лаковица обыкновенная (Лаковица розовая)
Псилоцибе кубенсис
Мухомор белый (Мухомор весенний)
Белый гриб берёзовый
Решёточник красный
Ложносвинуха рядовковидная
Гигрофор поздний
Мицена розовая
Онния войлочная
Мицена нитконогая
Млечник чахлый
Рыжик полукрасный
Лопастник ямчатый
Рамария жёсткая
Псевдоговорушка бокаловидная
Агроцибе стоповидный
Телефора наземная
Виннея американская
Мицена мелиевая
Фламмуластер шиповатый
Крепидот красивочешуйчатый
Феллинус раковинообразный
Вольвариелла серо-голубоватая
Беоспора мышехвостая
Омфалина кубковидная
Эксидия сахарная
Энтолома шероховатенькая
Астерофора дождевиковая
Псатирелла ватная
Гапалопилус красноватый
Суториус особенный
Саркосфера венечная
Хлороцибория сине-зеленоватая
Церрена одноцветная
Гипомицес зелёный
Биспорелла лимонная
Пилолистничек медвежий
Псатирелла морщинистая
Мицена щелочная
Аурискальпиум обыкновенный
Вёшенка сёмгово-соломенная
Паутинник намазанный
Лигномицес Ветлинский
Чешуйчатка белогородчатая
Сыроежка красно-желто-травяная
Гигроцибе Восковая
Навозник Романьези
Панеолус колокольчатый
Валуй
